Date,CharCode,NumCode,Nominal,Name,Value
18.06.2026,AUD,036,1,Австралийский доллар,51.3527
18.06.2026,AZN,944,1,Азербайджанский манат,42.7929
18.06.2026,DZD,012,100,Алжирских динаров,54.7378
18.06.2026,GBP,826,1,Фунт стерлингов,97.6859
18.06.2026,AMD,051,100,Армянских драмов,19.7652
18.06.2026,BHD,048,1,Бахрейнский динар,193.4367
18.06.2026,BYN,933,1,Белорусский рубль,26.2476
18.06.2026,BOB,068,1,Боливиано,10.5279
18.06.2026,BRL,986,1,Бразильский реал,14.3269
18.06.2026,HUF,348,100,Форинтов,24.1415
18.06.2026,VND,704,10000,Донгов,28.8969
18.06.2026,HKD,344,10,Гонконгских долларов,92.8262
18.06.2026,GEL,981,1,Лари,27.3962
18.06.2026,DKK,208,1,Датская крона,11.284
18.06.2026,AED,784,1,Дирхам ОАЭ,19.8088
18.06.2026,USD,840,1,Доллар США,72.7479
18.06.2026,EUR,978,1,Евро,84.3439
18.06.2026,EGP,818,10,Египетских фунтов,14.5735
18.06.2026,INR,356,100,Индийских рупий,77.0832
18.06.2026,IDR,360,10000,Рупий,41.0564
18.06.2026,IRR,364,1000000,Иранских риалов,50.1883
18.06.2026,KZT,398,100,Тенге,14.9328
18.06.2026,CAD,124,1,Канадский доллар,51.9776
18.06.2026,QAR,634,1,Катарский риал,19.9857
18.06.2026,KGS,417,100,Сомов,83.188
18.06.2026,CNY,156,1,Юань,10.7589
18.06.2026,CUP,192,10,Кубинских песо,30.3116
18.06.2026,MDL,498,10,Молдавских леев,41.8879
18.06.2026,MNT,496,1000,Тугриков,20.3413
18.06.2026,NGN,566,1000,Найр,53.6022
18.06.2026,NZD,554,1,Новозеландский доллар,42.4193
18.06.2026,NOK,578,10,Норвежских крон,76.3533
18.06.2026,OMR,512,1,Оманский риал,189.2013
18.06.2026,PLN,985,1,Злотый,19.908
18.06.2026,SAR,682,1,Саудовский риял,19.3994
18.06.2026,RON,946,1,Румынский лей,16.13
18.06.2026,XDR,960,1,СДР (специальные права заимствования),99.4733
18.06.2026,SGD,702,1,Сингапурский доллар,56.7589
18.06.2026,TJS,972,10,Сомони,78.3373
18.06.2026,THB,764,10,Батов,22.3544
18.06.2026,BDT,050,100,Так,59.1931
18.06.2026,TRY,949,10,Турецких лир,15.7279
18.06.2026,TMT,934,1,Новый туркменский манат,20.7851
18.06.2026,UZS,860,10000,Узбекских сумов,60.3614
18.06.2026,UAH,980,10,Гривен,16.2361
18.06.2026,CZK,203,10,Чешских крон,34.9212
18.06.2026,SEK,752,10,Шведских крон,77.401
18.06.2026,CHF,756,1,Швейцарский франк,91.865
18.06.2026,ETB,230,100,Эфиопских быров,45.761
18.06.2026,RSD,941,100,Сербских динаров,71.9877
18.06.2026,ZAR,710,10,Рэндов,44.8242
18.06.2026,KRW,410,1000,Вон,48.066
18.06.2026,JPY,392,100,Иен,45.3569
18.06.2026,MMK,104,1000,Кьятов,34.6419
